pokedex_number,name,type1,generation,hp,attack,defense,sp_attack,sp_defense,speed,height_m,weight_kg,base_total,is_legendary
761,Bounsweet,grass,7,42,30,38,30,38,32,0.3,3.2,210,0
762,Steenee,grass,7,52,40,48,40,48,62,0.7,8.2,290,0
763,Tsareena,grass,7,72,120,98,50,98,72,1.2,21.4,510,0
764,Comfey,fairy,7,51,52,90,82,110,100,0.1,0.3,485,0
765,Oranguru,normal,7,90,60,80,90,110,60,1.5,76.0,490,0
766,Passimian,fighting,7,100,120,90,40,60,80,2.0,82.8,490,0
767,Wimpod,bug,7,25,35,40,20,30,80,0.5,12.0,230,0
768,Golisopod,bug,7,75,125,140,60,90,40,2.0,108.0,530,0
769,Sandygast,ghost,7,55,55,80,70,45,15,0.5,70.0,320,0
770,Palossand,ghost,7,85,75,110,100,75,35,1.3,250.0,480,0
771,Pyukumuku,water,7,55,60,130,30,130,5,0.3,1.2,410,0
772,Type: Null,normal,7,95,95,95,95,95,59,1.9,120.5,534,0
773,Silvally,normal,7,95,95,95,95,95,95,2.3,100.5,570,0
774,Minior,rock,7,60,100,60,100,60,120,0.3,40.0,500,0
775,Komala,normal,7,65,115,65,75,95,65,0.4,19.9,480,0
776,Turtonator,fire,7,60,78,135,91,85,36,2.0,212.0,485,0
777,Togedemaru,electric,7,65,98,63,40,73,96,0.3,3.3,435,0
778,Mimikyu,ghost,7,55,90,80,50,105,96,0.2,0.7,476,0
779,Bruxish,water,7,68,105,70,70,70,92,0.9,19.0,475,0
780,Drampa,normal,7,78,60,85,135,91,36,3.0,185.0,485,0
781,Dhelmise,ghost,7,70,131,100,86,90,40,3.9,210.0,517,0
782,Jangmo-o,dragon,7,45,55,65,45,45,45,0.6,29.7,300,0
783,Hakamo-o,dragon,7,55,75,90,65,70,65,1.2,47.0,420,0
784,Kommo-o,dragon,7,75,110,125,100,105,85,1.6,78.2,600,0
785,Tapu Koko,electric,7,70,115,85,95,75,130,1.8,20.5,570,1
786,Tapu Lele,psychic,7,70,85,75,130,115,95,1.2,18.6,570,1
787,Tapu Bulu,grass,7,70,130,115,85,95,75,1.9,45.5,570,1
788,Tapu Fini,water,7,70,75,115,95,130,85,1.3,21.2,570,1
789,Cosmog,psychic,7,43,29,31,29,31,37,0.2,0.1,200,1
790,Cosmoem,psychic,7,43,29,131,29,131,37,0.1,999.9,400,1
791,Solgaleo,psychic,7,137,137,107,113,89,97,3.4,230.0,680,1
792,Lunala,psychic,7,137,113,89,137,107,97,4.0,120.0,680,1
793,Nihilego,rock,7,109,53,47,127,131,103,1.2,55.5,570,1
794,Buzzwole,bug,7,107,139,139,53,53,79,2.4,333.6,570,1
795,Pheromosa,bug,7,71,137,37,137,37,151,1.8,25.0,570,1
796,Xurkitree,electric,7,83,89,71,173,71,83,3.8,100.0,570,1
797,Celesteela,steel,7,97,101,103,107,101,61,9.2,999.9,570,1
798,Kartana,grass,7,59,181,131,59,31,109,0.3,0.1,570,1
799,Guzzlord,dark,7,223,101,53,97,53,43,5.5,888.0,570,1
800,Necrozma,psychic,7,97,107,101,127,89,79,2.4,230.0,600,1
801,Magearna,steel,7,80,95,115,130,115,65,1.0,80.5,600,1
